iter	Passed	Remaining
0	7	1568
1	20	1985
2	33	2200
3	47	2304
4	59	2326
5	64	2098
6	78	2162
7	89	2153
8	98	2080
9	111	2120
10	122	2111
11	135	2115
12	149	2151
13	162	2163
14	176	2170
15	186	2145
16	194	2089
17	207	2101
18	218	2080
19	230	2075
20	244	2080
21	256	2072
22	267	2060
23	286	2098
24	297	2084
25	310	2080
26	327	2101
27	341	2097
28	353	2085
29	364	2064
30	376	2054
31	392	2058
32	405	2052
33	416	2035
34	429	2022
35	441	2013
36	454	2004
37	468	1996
38	479	1978
39	491	1967
40	506	1965
41	520	1956
42	532	1944
43	543	1925
44	555	1914
45	558	1870
46	572	1863
47	585	1854
48	597	1841
49	608	1825
50	620	1814
51	634	1805
52	646	1793
53	658	1779
54	670	1767
55	683	1758
56	697	1748
57	707	1732
58	721	1725
59	729	1702
60	742	1691
61	754	1679
62	768	1670
63	781	1661
64	796	1654
65	810	1646
66	825	1637
67	841	1633
68	854	1621
69	866	1610
70	880	1599
71	894	1590
72	908	1581
73	921	1569
74	934	1558
75	948	1547
76	961	1536
77	977	1528
78	991	1519
79	1005	1507
80	1017	1494
81	1030	1482
82	1044	1472
83	1058	1461
84	1072	1450
85	1083	1436
86	1095	1422
87	1108	1411
88	1122	1399
89	1134	1386
90	1145	1372
91	1158	1360
92	1172	1348
93	1184	1335
94	1195	1320
95	1208	1308
96	1221	1297
97	1234	1285
98	1251	1277
99	1267	1267
100	1284	1258
101	1300	1249
102	1322	1245
103	1335	1232
104	1348	1220
105	1359	1205
106	1374	1194
107	1387	1181
108	1400	1169
109	1412	1155
110	1424	1141
111	1436	1128
112	1449	1116
113	1452	1096
114	1466	1083
115	1479	1071
116	1491	1057
117	1503	1044
118	1516	1032
119	1530	1020
120	1541	1006
121	1553	993
122	1566	980
123	1580	968
124	1592	955
125	1603	941
126	1616	928
127	1629	916
128	1643	904
129	1655	891
130	1667	878
131	1680	865
132	1694	853
133	1706	840
134	1717	826
135	1729	814
136	1744	802
137	1757	789
138	1769	776
139	1786	765
140	1805	755
141	1816	742
142	1830	729
143	1843	717
144	1857	704
145	1869	691
146	1880	677
147	1893	665
148	1900	650
149	1911	637
150	1925	624
151	1938	612
152	1951	599
153	1961	586
154	1974	573
155	1987	560
156	2000	547
157	2010	534
158	2023	521
159	2038	509
160	2051	497
161	2066	484
162	2079	471
163	2091	459
164	2104	446
165	2118	433
166	2132	421
167	2145	408
168	2158	395
169	2171	383
170	2185	370
171	2198	357
172	2212	345
173	2226	332
174	2239	319
175	2253	307
176	2267	294
177	2281	282
178	2295	269
179	2310	256
180	2322	243
181	2336	231
182	2351	218
183	2364	205
184	2378	192
185	2392	180
186	2402	167
187	2414	154
188	2427	141
189	2441	128
190	2452	115
191	2464	102
192	2477	89
193	2490	77
194	2502	64
195	2514	51
196	2527	38
197	2541	25
198	2554	12
199	2565	0
